order_id,date,customer,product,category,quantity,price,region
1001,2026-01-05,Carlos,Laptop,Electronics,2,850,North
1002,2026-01-06,Ana,Mouse,Accessories,5,25,South
1003,2026-01-08,John,Monitor,Electronics,3,300,East
1004,2026-01-10,Maria,Keyboard,Accessories,4,45,West
1005,2026-01-12,Carlos,Laptop,Electronics,1,850,North
1006,2026-01-15,Ana,Phone,Electronics,2,600,South
1007,2026-01-18,John,Headphones,Accessories,6,80,East
1008,2026-01-20,Maria,Tablet,Electronics,2,400,West
1009,2026-01-22,Carlos,Mouse,Accessories,10,25,North
1010,2026-01-25,Ana,Monitor,Electronics,1,300,South
1011,2026-02-02,John,Laptop,Electronics,1,850,East
1012,2026-02-05,Maria,Keyboard,Accessories,8,45,West
1013,2026-02-08,Carlos,Phone,Electronics,3,600,North
1014,2026-02-12,Ana,Headphones,Accessories,4,80,South
1015,2026-02-15,John,Tablet,Electronics,2,400,East
1016,2026-02-18,Maria,Mouse,Accessories,7,25,West
1017,2026-02-20,Carlos,Monitor,Electronics,2,300,North
1018,2026-02-22,Ana,Laptop,Electronics,1,850,South
1019,2026-02-25,John,Keyboard,Accessories,5,45,East
1020,2026-02-28,Maria,Phone,Electronics,2,600,West
